"TIME","GEO","P_ADJ","UNIT","S_ADJ","NACE_R2","INDIC","Value","Flag and Footnotes"
"2015Q4","Sweden","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.3",""
"2016Q1","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5",""
"2016Q1","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.1",""
"2016Q1","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.1",""
"2016Q1","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5",""
"2016Q1","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.5",""
"2016Q1","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.9",""
"2016Q1","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.2",""
"2016Q1","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2016Q1","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.1",""
"2016Q1","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.1","p"
"2016Q1","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4","p"
"2016Q1","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-9.0",""
"2016Q1","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.5",""
"2016Q1","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.0",""
"2016Q1","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.6",""
"2016Q1","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.7",""
"2016Q1","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.7",""
"2016Q1","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2",""
"2016Q1","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-4.4","p"
"2016Q1","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","4.2",""
"2016Q1","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.1",""
"2016Q1","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.3",""
"2016Q1","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.6",""
"2016Q1","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2016Q1","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.4",""
"2016Q1","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2016Q1","Finland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.6","p"
"2016Q1","Sweden","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.2",""
"2016Q2","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.0",""
"2016Q2","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.0",""
"2016Q2","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","4.0",""
"2016Q2","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2016Q2","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2016Q2","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.3",""
"2016Q2","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.5",""
"2016Q2","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2",""
"2016Q2","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.1",""
"2016Q2","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.1","p"
"2016Q2","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.3","p"
"2016Q2","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-2.3",""
"2016Q2","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.1",""
"2016Q2","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.2",""
"2016Q2","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.8",""
"2016Q2","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.6",""
"2016Q2","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.7",""
"2016Q2","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.1",""
"2016Q2","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-2.9","p"
"2016Q2","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-2.8",""
"2016Q2","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2",""
"2016Q2","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.7",""
"2016Q2","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.1",""
"2016Q2","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.4",""
"2016Q2","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.7",""
"2016Q2","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-1.0",""
"2016Q2","Finland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-2.0","p"
"2016Q2","Sweden","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.6",""
"2016Q3","European Union - 27 countries (from 2020)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.9",""
"2016Q3","Belgium","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2016Q3","Bulgaria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.9",""
"2016Q3","Czechia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.3",""
"2016Q3","Denmark","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2016Q3","Germany (until 1990 former territory of the FRG)","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.3",""
"2016Q3","Estonia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.3",""
"2016Q3","Ireland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4",""
"2016Q3","Greece","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2016Q3","Spain","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1","p"
"2016Q3","France","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.4","p"
"2016Q3","Croatia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","1.5",""
"2016Q3","Italy","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2016Q3","Cyprus","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","-0.3",""
"2016Q3","Latvia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.8",""
"2016Q3","Lithuania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.5",""
"2016Q3","Luxembourg","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.8",""
"2016Q3","Hungary","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.5",""
"2016Q3","Malta","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","5.5","p"
"2016Q3","Netherlands","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","2.4",""
"2016Q3","Austria","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.7",""
"2016Q3","Poland","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","4.5",""
"2016Q3","Portugal","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.2",""
"2016Q3","Romania","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.4",""
"2016Q3","Slovenia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","0.1",""
"2016Q3","Slovakia","Nominal value","Percentage change on previous period","Seasonally and calendar adjusted data","Industry and construction","Labour cost index - Total labour cost","3.1",""
