time,country,sector,value_var,value_100
2015M01,Spain,intermediate goods,-0.3,99.7
2015M01,Spain,energy,-2.3,99.2
2015M01,Spain,capital goods,0.2,99.8
2015M01,Spain,durable consumer goods,0.1,99.7
2015M01,Spain,non-durable consumer goods,0.5,99.4
2015M01,France,general,-0.9,99.8
2015M01,France,intermediate goods,-0.6,100.1
2015M01,France,energy,-4.5,99.9
2015M01,France,capital goods,0.3,99.7
2015M01,France,durable consumer goods,-0.1,99.7
2015M01,France,non-durable consumer goods,-0.2,99.1
2015M01,Croatia,general,-2.4,99.0
2015M01,Croatia,intermediate goods,0.3,99.8
2015M01,Croatia,energy,-7.9,96.3
2015M01,Croatia,capital goods,-0.1,100.3
2015M01,Croatia,durable consumer goods,-0.8,100.4
2015M01,Croatia,non-durable consumer goods,-0.4,100.2
2015M01,Italy,general,-1.4,100.1
2015M01,Italy,intermediate goods,-0.2,100.3
2015M01,Italy,energy,-5.0,100.2
2015M01,Italy,capital goods,0.1,100.0
2015M01,Italy,durable consumer goods,0.5,99.9
2015M01,Italy,non-durable consumer goods,0.1,99.9
2015M01,Cyprus,general,-1.3,103.0
2015M01,Cyprus,intermediate goods,-0.4,100.1
2015M01,Cyprus,energy,-5.7,110.2
2015M01,Cyprus,capital goods,-0.4,99.9
2015M01,Cyprus,durable consumer goods,1.2,101.7
2015M01,Cyprus,non-durable consumer goods,-0.6,101.7
2015M01,Latvia,general,0.2,100.7
2015M01,Latvia,intermediate goods,0.5,100.8
2015M01,Latvia,energy,0.6,102.3
2015M01,Latvia,capital goods,-0.6,98.1
2015M01,Latvia,durable consumer goods,1.8,99.4
2015M01,Latvia,non-durable consumer goods,-0.4,100.3
2015M01,Lithuania,general,-3.6,98.6
2015M01,Lithuania,intermediate goods,-0.2,99.6
2015M01,Lithuania,energy,-9.7,96.1
2015M01,Lithuania,capital goods,1.0,99.7
2015M01,Lithuania,durable consumer goods,-0.2,100.0
2015M01,Lithuania,non-durable consumer goods,-0.7,100.3
2015M01,Luxembourg,general,0.0,101.5
2015M01,Luxembourg,intermediate goods,0.8,102.8
2015M01,Luxembourg,energy,-1.8,101.3
2015M01,Luxembourg,capital goods,-2.3,99.8
2015M01,Luxembourg,durable consumer goods,0.3,99.6
2015M01,Luxembourg,non-durable consumer goods,1.6,98.7
2015M01,Hungary,general,-0.4,100.1
2015M01,Hungary,intermediate goods,-0.1,99.6
2015M01,Hungary,energy,-3.9,99.5
2015M01,Hungary,capital goods,0.7,101.0
2015M01,Hungary,durable consumer goods,2.9,101.5
2015M01,Hungary,non-durable consumer goods,0.8,99.6
2015M01,Malta,general,-1.2,102.8
2015M01,Malta,intermediate goods,-2.9,103.5
2015M01,Malta,energy,0.1,111.9
2015M01,Malta,capital goods,1.2,99.5
2015M01,Malta,durable consumer goods,0.0,100.0
2015M01,Malta,non-durable consumer goods,-0.1,99.6
2015M01,Netherlands,general,-2.3,98.7
2015M01,Netherlands,intermediate goods,-2.4,98.4
2015M01,Netherlands,energy,-9.7,95.8
2015M01,Netherlands,capital goods,0.6,99.1
2015M01,Netherlands,durable consumer goods,0.0,99.2
2015M01,Netherlands,non-durable consumer goods,0.0,100.4
2015M01,Austria,general,-0.6,100.1
2015M01,Austria,intermediate goods,-0.1,100.1
2015M01,Austria,energy,-2.3,100.9
2015M01,Austria,capital goods,0.3,99.8
2015M01,Austria,durable consumer goods,0.2,99.2
2015M01,Austria,non-durable consumer goods,-0.2,99.7
2015M01,Poland,general,-0.1,100.3
2015M01,Poland,intermediate goods,0.2,100.2
2015M01,Poland,energy,-2.0,99.3
2015M01,Poland,capital goods,1.1,100.9
2015M01,Poland,durable consumer goods,1.1,100.6
2015M01,Poland,non-durable consumer goods,-0.1,100.5
2015M01,Portugal,general,-0.2,99.7
2015M01,Portugal,intermediate goods,1.3,99.8
2015M01,Portugal,energy,-1.0,99.6
2015M01,Portugal,capital goods,2.9,100.8
2015M01,Portugal,durable consumer goods,-8.7,99.2
2015M01,Portugal,non-durable consumer goods,1.8,99.3
2015M01,Romania,general,-0.7,99.9
2015M01,Romania,intermediate goods,-0.2,100.8
2015M01,Romania,energy,-2.3,99.1
2015M01,Romania,capital goods,-0.4,100.5
2015M01,Romania,durable consumer goods,0.5,99.6
2015M01,Romania,non-durable consumer goods,0.2,99.1
2015M01,Slovenia,general,0.1,100.3
2015M01,Slovenia,intermediate goods,-0.1,100.3
2015M01,Slovenia,energy,-0.8,103.8
2015M01,Slovenia,capital goods,0.0,100.2
2015M01,Slovenia,durable consumer goods,0.3,98.5
2015M01,Slovenia,non-durable consumer goods,0.4,100.1
2015M01,Slovakia,general,-0.9,100.5
2015M01,Slovakia,intermediate goods,0.0,100.6
2015M01,Slovakia,energy,-3.5,103.7
2015M01,Slovakia,capital goods,0.0,99.9
2015M01,Slovakia,durable consumer goods,0.4,96.9
2015M01,Slovakia,non-durable consumer goods,-0.8,99.9
2015M01,Finland,general,-0.7,99.4
2015M01,Finland,intermediate goods,0.0,100.3
2015M01,Finland,energy,-4.3,99.5
2015M01,Finland,capital goods,0.6,99.3
2015M01,Finland,durable consumer goods,-0.5,98.4
2015M01,Finland,non-durable consumer goods,-0.3,100.6
2015M01,Sweden,general,0.1,100.2
2015M01,Sweden,intermediate goods,1.0,100.5
2015M01,Sweden,energy,-5.1,102.5
2015M01,Sweden,capital goods,1.2,99.5
2015M01,Sweden,durable consumer goods,0.6,99.0
2015M01,Sweden,non-durable consumer goods,0.2,99.0
2015M02,EU,general,0.6,100.3
2015M02,EU,intermediate goods,-0.2,99.8
2015M02,EU,energy,3.2,102.7
2015M02,EU,capital goods,0.2,99.8
2015M02,EU,durable consumer goods,0.1,99.7
2015M02,EU,non-durable consumer goods,0.3,99.8
2015M02,Belgium,general,1.3,99.7
2015M02,Belgium,intermediate goods,-1.6,97.5
2015M02,Belgium,energy,7.8,102.1
2015M02,Belgium,capital goods,-0.2,100.0
2015M02,Belgium,durable consumer goods,-0.3,99.0
2015M02,Belgium,non-durable consumer goods,-0.8,100.5
2015M02,Bulgaria,general,1.5,100.7
2015M02,Bulgaria,intermediate goods,0.9,100.6
2015M02,Bulgaria,energy,3.5,102.1
2015M02,Bulgaria,capital goods,0.0,99.2
2015M02,Bulgaria,durable consumer goods,0.0,99.5
2015M02,Bulgaria,non-durable consumer goods,0.1,99.3
2015M02,Czechia,general,-0.4,100.5
2015M02,Czechia,intermediate goods,-1.0,100.5
2015M02,Czechia,energy,1.4,100.3
2015M02,Czechia,capital goods,-0.4,100.8
2015M02,Czechia,durable consumer goods,-0.3,101.1
2015M02,Czechia,non-durable consumer goods,-0.3,100.5
2015M02,Denmark,general,1.1,100.6
2015M02,Denmark,intermediate goods,0.4,99.8
2015M02,Denmark,energy,6.5,108.6
2015M02,Denmark,capital goods,0.1,99.6
2015M02,Denmark,durable consumer goods,-0.2,98.8
2015M02,Denmark,non-durable consumer goods,-0.2,97.9
2015M02,Germany,general,0.3,100.1
2015M02,Germany,intermediate goods,-0.1,99.9
2015M02,Germany,energy,1.1,101.8
2015M02,Germany,capital goods,0.3,99.7
2015M02,Germany,durable consumer goods,0.1,99.5
2015M02,Germany,non-durable consumer goods,0.2,99.8
2015M02,Estonia,general,-0.2,100.3
2015M02,Estonia,intermediate goods,-1.1,99.8
2015M02,Estonia,energy,2.6,101.4
2015M02,Estonia,capital goods,-0.4,99.8
2015M02,Estonia,durable consumer goods,0.8,101.3
2015M02,Estonia,non-durable consumer goods,-0.7,101.1
2015M02,Ireland,general,2.2,99.2
2015M02,Ireland,intermediate goods,-0.2,99.8
2015M02,Ireland,energy,3.2,102.7
2015M02,Ireland,capital goods,0.2,99.8
2015M02,Ireland,durable consumer goods,0.1,99.7
2015M02,Ireland,non-durable consumer goods,0.3,99.8
2015M02,Greece,general,4.2,102.3
2015M02,Greece,intermediate goods,0.8,100.9
2015M02,Greece,energy,9.8,105.4
2015M02,Greece,capital goods,0.0,99.9
2015M02,Greece,durable consumer goods,0.3,100.1
2015M02,Greece,non-durable consumer goods,0.0,99.3
2015M02,Spain,general,0.2,99.7
2015M02,Spain,intermediate goods,0.0,99.7
2015M02,Spain,energy,0.9,100.1
2015M02,Spain,capital goods,-0.1,99.7
2015M02,Spain,durable consumer goods,0.0,99.7
2015M02,Spain,non-durable consumer goods,0.2,99.6
2015M02,France,general,1.0,100.8
2015M02,France,intermediate goods,-0.2,99.9
2015M02,France,energy,5.4,105.3
2015M02,France,capital goods,0.1,99.8
2015M02,France,durable consumer goods,0.3,100.0
2015M02,France,non-durable consumer goods,0.7,99.8
2015M02,Croatia,general,1.4,100.4
2015M02,Croatia,intermediate goods,0.1,99.9
2015M02,Croatia,energy,5.4,101.5
2015M02,Croatia,capital goods,-0.3,100.0
2015M02,Croatia,durable consumer goods,0.2,100.6
2015M02,Croatia,non-durable consumer goods,0.0,100.2
2015M02,Italy,general,0.6,100.7
2015M02,Italy,intermediate goods,-0.1,100.2
2015M02,Italy,energy,2.4,102.6
2015M02,Italy,capital goods,0.0,100.0
2015M02,Italy,durable consumer goods,0.0,99.9
2015M02,Italy,non-durable consumer goods,0.2,100.1
2015M02,Cyprus,general,0.0,103.0
2015M02,Cyprus,intermediate goods,-0.2,99.9
2015M02,Cyprus,energy,0.1,110.3
2015M02,Cyprus,capital goods,0.5,100.4
2015M02,Cyprus,durable consumer goods,-1.0,100.7
2015M02,Cyprus,non-durable consumer goods,-0.1,101.6
2015M02,Latvia,general,-0.1,100.6
2015M02,Latvia,intermediate goods,-0.4,100.4
2015M02,Latvia,energy,-0.6,101.7
2015M02,Latvia,capital goods,1.5,99.6
2015M02,Latvia,durable consumer goods,0.4,99.8
2015M02,Latvia,non-durable consumer goods,0.2,100.5
2015M02,Lithuania,general,2.2,100.8
2015M02,Lithuania,intermediate goods,-0.1,99.5
2015M02,Lithuania,energy,6.5,102.3
2015M02,Lithuania,capital goods,1.4,101.1
2015M02,Lithuania,durable consumer goods,-0.3,99.7
2015M02,Lithuania,non-durable consumer goods,0.1,100.4
2015M02,Luxembourg,general,-0.4,101.1
2015M02,Luxembourg,intermediate goods,-0.8,102.0
2015M02,Luxembourg,energy,-0.1,101.2
2015M02,Luxembourg,capital goods,-1.8,98.0
2015M02,Luxembourg,durable consumer goods,0.1,99.7
2015M02,Luxembourg,non-durable consumer goods,2.4,101.1
2015M02,Hungary,general,-1.5,98.6
2015M02,Hungary,intermediate goods,-2.5,97.1
2015M02,Hungary,energy,0.6,100.1
2015M02,Hungary,capital goods,-2.4,98.6
2015M02,Hungary,durable consumer goods,-1.7,99.8
2015M02,Hungary,non-durable consumer goods,-0.9,98.7
2015M02,Malta,general,-1.6,101.2
2015M02,Malta,intermediate goods,-4.6,98.7
2015M02,Malta,energy,0.0,111.9
2015M02,Malta,capital goods,0.1,99.6
2015M02,Malta,durable consumer goods,0.0,100.0
2015M02,Malta,non-durable consumer goods,0.4,100.0
2015M02,Netherlands,general,1.3,100.0
2015M02,Netherlands,intermediate goods,-0.5,97.9
2015M02,Netherlands,energy,9.1,104.5
2015M02,Netherlands,capital goods,0.7,99.8
2015M02,Netherlands,durable consumer goods,0.1,99.3
2015M02,Netherlands,non-durable consumer goods,-0.2,100.2
2015M02,Austria,general,0.3,100.4
2015M02,Austria,intermediate goods,-0.1,100.0
2015M02,Austria,energy,0.9,101.8
2015M02,Austria,capital goods,0.1,99.9
2015M02,Austria,durable consumer goods,0.6,99.8
2015M02,Austria,non-durable consumer goods,0.1,99.8
2015M02,Poland,general,-0.2,100.1
2015M02,Poland,intermediate goods,-0.5,99.7
2015M02,Poland,energy,2.0,101.3
2015M02,Poland,capital goods,-1.0,99.9
2015M02,Poland,durable consumer goods,-0.5,100.1
2015M02,Poland,non-durable consumer goods,-0.5,100.0
2015M02,Portugal,general,0.6,100.3
2015M02,Portugal,intermediate goods,-0.4,99.4
2015M02,Portugal,energy,3.1,102.7
2015M02,Portugal,capital goods,-0.2,100.6
2015M02,Portugal,durable consumer goods,-0.2,99.0
2015M02,Portugal,non-durable consumer goods,0.4,99.7
2015M02,Romania,general,0.5,100.4
2015M02,Romania,intermediate goods,-0.5,100.3
2015M02,Romania,energy,3.4,102.5
2015M02,Romania,capital goods,-0.6,99.9
2015M02,Romania,durable consumer goods,0.0,99.6
2015M02,Romania,non-durable consumer goods,0.1,99.2
2015M02,Slovenia,general,-0.2,100.1
2015M02,Slovenia,intermediate goods,0.3,100.6
2015M02,Slovenia,energy,-3.9,99.8
2015M02,Slovenia,capital goods,-0.4,99.8
2015M02,Slovenia,durable consumer goods,-0.1,98.4
2015M02,Slovenia,non-durable consumer goods,0.0,100.1
2015M02,Slovakia,general,-0.8,99.7
2015M02,Slovakia,intermediate goods,-0.9,99.7
2015M02,Slovakia,energy,-3.4,100.2
2015M02,Slovakia,capital goods,0.1,100.0
2015M02,Slovakia,durable consumer goods,2.3,99.1
2015M02,Slovakia,non-durable consumer goods,0.3,100.2
2015M02,Finland,general,1.2,100.6
2015M02,Finland,intermediate goods,0.3,100.6
2015M02,Finland,energy,3.2,102.7
2015M02,Finland,capital goods,0.2,99.5
2015M02,Finland,durable consumer goods,1.2,99.6
2015M02,Finland,non-durable consumer goods,-0.2,100.4
2015M02,Sweden,general,1.1,101.3
2015M02,Sweden,intermediate goods,0.4,100.9
2015M02,Sweden,energy,5.4,108.0
2015M02,Sweden,capital goods,0.4,99.9
2015M02,Sweden,durable consumer goods,0.8,99.8
2015M02,Sweden,non-durable consumer goods,0.9,99.9
2015M03,EU,general,0.4,100.7
2015M03,EU,intermediate goods,0.4,100.2
2015M03,EU,energy,0.8,103.5
2015M03,EU,capital goods,0.2,100.0
2015M03,EU,durable consumer goods,0.1,99.8
2015M03,EU,non-durable consumer goods,0.6,100.4
2015M03,Belgium,general,1.7,101.4
2015M03,Belgium,intermediate goods,1.6,99.1
2015M03,Belgium,energy,4.2,106.4
2015M03,Belgium,capital goods,0.7,100.7
2015M03,Belgium,durable consumer goods,0.2,99.2
2015M03,Belgium,non-durable consumer goods,-0.1,100.4
2015M03,Bulgaria,general,1.7,102.4
2015M03,Bulgaria,intermediate goods,2.8,103.4
2015M03,Bulgaria,energy,2.3,104.4
2015M03,Bulgaria,capital goods,0.7,99.9
2015M03,Bulgaria,durable consumer goods,0.3,99.8
2015M03,Bulgaria,non-durable consumer goods,-0.1,99.2
2015M03,Czechia,general,0.1,100.6
2015M03,Czechia,intermediate goods,-0.1,100.4
2015M03,Czechia,energy,1.5,101.8
2015M03,Czechia,capital goods,-0.3,100.5
2015M03,Czechia,durable consumer goods,-0.6,100.5
2015M03,Czechia,non-durable consumer goods,0.0,100.5
2015M03,Denmark,general,1.4,102.0
2015M03,Denmark,intermediate goods,0.3,100.1
2015M03,Denmark,energy,-2.8,105.6
2015M03,Denmark,capital goods,0.4,100.0
2015M03,Denmark,durable consumer goods,0.4,99.2
2015M03,Denmark,non-durable consumer goods,5.5,103.3
2015M03,Germany,general,0.3,100.4
2015M03,Germany,intermediate goods,0.3,100.2
2015M03,Germany,energy,0.4,102.2
2015M03,Germany,capital goods,0.4,100.1
2015M03,Germany,durable consumer goods,0.2,99.7
2015M03,Germany,non-durable consumer goods,0.6,100.4
2015M03,Estonia,general,0.6,100.9
2015M03,Estonia,intermediate goods,0.8,100.6
2015M03,Estonia,energy,0.9,102.3
2015M03,Estonia,capital goods,0.6,100.4
2015M03,Estonia,durable consumer goods,-1.0,100.3
2015M03,Estonia,non-durable consumer goods,0.0,101.1
2015M03,Ireland,general,2.0,101.2
2015M03,Ireland,intermediate goods,0.4,100.2
2015M03,Ireland,energy,0.8,103.5
2015M03,Ireland,capital goods,0.2,100.0
2015M03,Ireland,durable consumer goods,0.1,99.8
2015M03,Ireland,non-durable consumer goods,0.6,100.4
2015M03,Greece,general,0.8,103.1
2015M03,Greece,intermediate goods,0.0,100.9
2015M03,Greece,energy,1.6,107.1
2015M03,Greece,capital goods,0.1,100.0
2015M03,Greece,durable consumer goods,0.0,100.1
2015M03,Greece,non-durable consumer goods,0.3,99.6
2015M03,Spain,general,0.5,100.2
2015M03,Spain,intermediate goods,0.6,100.3
2015M03,Spain,energy,1.1,101.2
2015M03,Spain,capital goods,0.1,99.8
2015M03,Spain,durable consumer goods,0.3,100.0
2015M03,Spain,non-durable consumer goods,0.2,99.8
2015M03,France,general,0.2,101.0
2015M03,France,intermediate goods,0.5,100.4
2015M03,France,energy,-0.1,105.2
2015M03,France,capital goods,0.2,100.0
2015M03,France,durable consumer goods,0.2,100.2
2015M03,France,non-durable consumer goods,0.3,100.1
2015M03,Croatia,general,1.3,101.7
2015M03,Croatia,intermediate goods,0.1,100.0
2015M03,Croatia,energy,4.1,105.7
2015M03,Croatia,capital goods,0.0,100.0
2015M03,Croatia,durable consumer goods,-0.4,100.2
2015M03,Croatia,non-durable consumer goods,0.0,100.2
2015M03,Italy,general,0.0,100.7
2015M03,Italy,intermediate goods,0.0,100.2
2015M03,Italy,energy,-0.1,102.5
2015M03,Italy,capital goods,0.0,100.0
2015M03,Italy,durable consumer goods,0.2,100.1
2015M03,Italy,non-durable consumer goods,0.1,100.2
2015M03,Cyprus,general,-3.1,99.8
2015M03,Cyprus,intermediate goods,0.1,100.0
2015M03,Cyprus,energy,-10.8,98.4
2015M03,Cyprus,capital goods,0.0,100.4
2015M03,Cyprus,durable consumer goods,-0.2,100.5
2015M03,Cyprus,non-durable consumer goods,-1.3,100.3
2015M03,Latvia,general,0.0,100.6
2015M03,Latvia,intermediate goods,0.5,100.9
2015M03,Latvia,energy,-1.8,99.9
2015M03,Latvia,capital goods,0.3,99.9
2015M03,Latvia,durable consumer goods,0.5,100.3
2015M03,Latvia,non-durable consumer goods,0.4,100.9
2015M03,Lithuania,general,2.6,103.4
2015M03,Lithuania,intermediate goods,-0.1,99.4
2015M03,Lithuania,energy,6.9,109.4
2015M03,Lithuania,capital goods,-0.9,100.2
2015M03,Lithuania,durable consumer goods,0.3,100.0
2015M03,Lithuania,non-durable consumer goods,1.4,101.8
2015M03,Luxembourg,general,0.0,101.1
2015M03,Luxembourg,intermediate goods,0.4,102.4
2015M03,Luxembourg,energy,0.0,101.2
2015M03,Luxembourg,capital goods,0.8,98.8
2015M03,Luxembourg,durable consumer goods,0.1,99.8
2015M03,Luxembourg,non-durable consumer goods,-2.4,98.7
2015M03,Hungary,general,0.3,98.9
2015M03,Hungary,intermediate goods,0.2,97.3
2015M03,Hungary,energy,1.6,101.7
2015M03,Hungary,capital goods,-0.5,98.1
2015M03,Hungary,durable consumer goods,-0.4,99.4
2015M03,Hungary,non-durable consumer goods,0.2,98.9
2015M03,Malta,general,0.4,101.6
2015M03,Malta,intermediate goods,0.7,99.4
2015M03,Malta,energy,0.0,111.9
2015M03,Malta,capital goods,0.3,99.9
2015M03,Malta,durable consumer goods,0.0,100.0
2015M03,Malta,non-durable consumer goods,0.3,100.3
2015M03,Netherlands,general,1.2,101.2
2015M03,Netherlands,intermediate goods,1.8,99.7
2015M03,Netherlands,energy,2.7,107.3
2015M03,Netherlands,capital goods,0.4,100.2
2015M03,Netherlands,durable consumer goods,0.1,99.4
2015M03,Netherlands,non-durable consumer goods,0.5,100.7
2015M03,Austria,general,0.1,100.5
2015M03,Austria,intermediate goods,0.1,100.1
2015M03,Austria,energy,0.0,101.8
2015M03,Austria,capital goods,0.1,100.0
2015M03,Austria,durable consumer goods,0.3,100.1
2015M03,Austria,non-durable consumer goods,0.4,100.2
2015M03,Poland,general,0.1,100.2
2015M03,Poland,intermediate goods,0.3,100.0
2015M03,Poland,energy,1.0,102.3
2015M03,Poland,capital goods,-0.7,99.2
2015M03,Poland,durable consumer goods,-0.5,99.6
2015M03,Poland,non-durable consumer goods,0.1,100.1
2015M03,Portugal,general,0.7,101.0
2015M03,Portugal,intermediate goods,0.7,100.1
2015M03,Portugal,energy,2.7,105.5
2015M03,Portugal,capital goods,-0.8,99.8
2015M03,Portugal,durable consumer goods,0.8,99.8
2015M03,Portugal,non-durable consumer goods,0.0,99.7
2015M03,Romania,general,0.5,100.9
2015M03,Romania,intermediate goods,0.3,100.6
2015M03,Romania,energy,1.2,103.7
2015M03,Romania,capital goods,-0.1,99.8
2015M03,Romania,durable consumer goods,0.0,99.6
2015M03,Romania,non-durable consumer goods,0.4,99.6
2015M03,Slovenia,general,0.4,100.5
2015M03,Slovenia,intermediate goods,0.1,100.7
2015M03,Slovenia,energy,0.0,99.8
2015M03,Slovenia,capital goods,0.1,99.9
2015M03,Slovenia,durable consumer goods,1.9,100.3
2015M03,Slovenia,non-durable consumer goods,0.9,101.0
2015M03,Slovakia,general,0.8,100.5
2015M03,Slovakia,intermediate goods,0.5,100.2
2015M03,Slovakia,energy,2.3,102.5
2015M03,Slovakia,capital goods,0.0,100.0
2015M03,Slovakia,durable consumer goods,0.0,99.1
2015M03,Slovakia,non-durable consumer goods,-0.1,100.1
2015M03,Finland,general,0.4,101.0
2015M03,Finland,intermediate goods,0.5,101.1
2015M03,Finland,energy,0.8,103.5
2015M03,Finland,capital goods,0.1,99.6
2015M03,Finland,durable consumer goods,0.1,99.7
2015M03,Finland,non-durable consumer goods,0.1,100.5
2015M03,Sweden,general,0.3,101.6
2015M03,Sweden,intermediate goods,0.0,100.9
2015M03,Sweden,energy,-0.1,107.9
2015M03,Sweden,capital goods,0.7,100.6
2015M03,Sweden,durable consumer goods,0.2,100.0
2015M03,Sweden,non-durable consumer goods,0.2,100.1
2015M04,EU,general,0.1,100.8
2015M04,EU,intermediate goods,0.5,100.7
2015M04,EU,energy,-0.1,103.4
2015M04,EU,capital goods,0.3,100.3
2015M04,EU,durable consumer goods,0.1,99.9
2015M04,EU,non-durable consumer goods,-0.3,100.1
2015M04,Belgium,general,0.3,101.7
2015M04,Belgium,intermediate goods,1.8,100.9
2015M04,Belgium,energy,-0.8,105.6
2015M04,Belgium,capital goods,-0.1,100.6
2015M04,Belgium,durable consumer goods,0.5,99.7
2015M04,Belgium,non-durable consumer goods,0.1,100.5
2015M04,Bulgaria,general,-0.8,101.6
2015M04,Bulgaria,intermediate goods,-0.4,103.0
2015M04,Bulgaria,energy,-2.0,102.3
2015M04,Bulgaria,capital goods,0.1,100.0
2015M04,Bulgaria,durable consumer goods,0.2,100.0
2015M04,Bulgaria,non-durable consumer goods,0.3,99.5
2015M04,Czechia,general,0.4,101.0
2015M04,Czechia,intermediate goods,0.8,101.2
2015M04,Czechia,energy,0.4,102.2
2015M04,Czechia,capital goods,0.1,100.6
2015M04,Czechia,durable consumer goods,-0.2,100.3
2015M04,Czechia,non-durable consumer goods,0.1,100.6
2015M04,Denmark,general,-1.9,100.1
2015M04,Denmark,intermediate goods,0.1,100.2
2015M04,Denmark,energy,3.2,109.0
2015M04,Denmark,capital goods,0.2,100.2
2015M04,Denmark,durable consumer goods,1.2,100.4
2015M04,Denmark,non-durable consumer goods,-7.7,95.3
2015M04,Germany,general,0.2,100.6
2015M04,Germany,intermediate goods,0.3,100.5
2015M04,Germany,energy,0.0,102.2
2015M04,Germany,capital goods,0.2,100.3
2015M04,Germany,durable consumer goods,0.4,100.1
2015M04,Germany,non-durable consumer goods,0.1,100.5
2015M04,Estonia,general,-0.6,100.3
2015M04,Estonia,intermediate goods,-0.3,100.3
2015M04,Estonia,energy,0.8,103.1
2015M04,Estonia,capital goods,-1.7,98.7
2015M04,Estonia,durable consumer goods,-0.5,99.8
2015M04,Estonia,non-durable consumer goods,-0.3,100.8
2015M04,Ireland,general,1.3,102.5
2015M04,Ireland,intermediate goods,0.5,100.7
2015M04,Ireland,energy,-0.1,103.4
2015M04,Ireland,capital goods,0.3,100.3
2015M04,Ireland,durable consumer goods,0.1,99.9
2015M04,Ireland,non-durable consumer goods,-0.3,100.1
2015M04,Greece,general,0.3,103.4
2015M04,Greece,intermediate goods,0.2,101.1
2015M04,Greece,energy,0.6,107.7
2015M04,Greece,capital goods,0.1,100.1
2015M04,Greece,durable consumer goods,0.1,100.2
2015M04,Greece,non-durable consumer goods,0.2,99.8
2015M04,Spain,general,0.5,100.7
2015M04,Spain,intermediate goods,0.6,100.9
2015M04,Spain,energy,1.1,102.3
2015M04,Spain,capital goods,0.2,100.0
2015M04,Spain,durable consumer goods,0.2,100.2
2015M04,Spain,non-durable consumer goods,0.1,99.9
2015M04,France,general,-0.1,100.9
2015M04,France,intermediate goods,0.7,101.1
2015M04,France,energy,-1.8,103.3
2015M04,France,capital goods,0.2,100.2
2015M04,France,durable consumer goods,0.0,100.2
2015M04,France,non-durable consumer goods,0.1,100.2
2015M04,Croatia,general,-0.6,101.1
2015M04,Croatia,intermediate goods,0.0,100.0
2015M04,Croatia,energy,-2.0,103.6
2015M04,Croatia,capital goods,0.2,100.2
2015M04,Croatia,durable consumer goods,-0.4,99.8
2015M04,Croatia,non-durable consumer goods,0.1,100.3
2015M04,Italy,general,0.0,100.7
2015M04,Italy,intermediate goods,0.2,100.4
2015M04,Italy,energy,-0.2,102.3
2015M04,Italy,capital goods,0.0,100.0
2015M04,Italy,durable consumer goods,-0.1,100.0
2015M04,Italy,non-durable consumer goods,-0.3,99.9
2015M04,Cyprus,general,-0.3,99.5
